,City,Latitude,Longitude,Temperature (Max),Humidity,Cloudiness,Wind Speed
0,sao felix do xingu,-5.6703,-53.0349,304.64,52,100,1.59
1,vila velha,-24.2787,-26.7846,298.35,76,6,5.84
2,vaini,-54.4849,-168.9182,278.15,75,97,13.45
3,aklavik,77.8844,-142.4281,249.1,100,100,3.31
4,klaksvik,68.0899,-4.5892,277.22,95,89,6.09
5,sistranda,66.5109,8.4843,280.71,80,71,12.38
6,rosarito,29.395,-120.6832,287.24,76,99,9.0
7,dikson,88.804,74.353,258.4,95,100,5.38
8,port blair,11.574,86.6906,301.41,67,1,1.78
9,port alfred,-84.3229,44.9172,227.5,100,100,2.84
10,hermon,45.1969,-69.0242,287.41,54,39,7.56
11,cape town,-45.1774,10.4724,282.66,92,100,6.95
12,kapaa,28.0857,-160.9155,293.03,74,24,10.99
13,la palma del condado,37.3283,-6.5894,295.72,46,87,5.91
14,tiksi,74.0113,132.3185,247.03,100,99,2.07
15,emilio carranza,20.3378,-95.5442,297.5,71,8,3.35
16,tezu,32.701,97.1531,264.53,74,70,0.29
17,esperance,-52.5641,125.6101,277.85,73,55,14.4
18,bluff,-70.888,160.2659,253.49,64,95,1.17
19,hilo,22.2049,-145.1376,294.11,70,88,10.38
20,ushuaia,-61.2046,-59.3932,272.76,64,50,4.39
21,rikitea,-14.2112,-120.3324,299.43,80,64,9.25
22,avarua,-27.2126,-159.8074,295.44,70,89,4.35
23,arraial do cabo,-37.4507,-27.4084,292.02,90,86,9.38
24,atuona,9.8475,-136.0245,298.6,83,100,9.22
25,rosetta,33.315,30.8025,289.49,61,1,11.68
26,guerrero negro,18.9307,-125.6224,293.17,76,100,5.01
27,hermanus,-67.1472,40.311,270.29,93,85,14.51
28,kamenskoye,-38.4707,16.6371,291.06,72,93,10.34
29,tasiilaq,63.7484,166.9986,246.08,93,43,1.94
30,ribeira grande,79.0274,-35.3216,257.54,80,10,4.46
31,chuy,27.6553,-31.1174,294.01,78,0,7.68
32,ponta do sol,-55.1637,-32.0895,274.05,74,45,7.89
33,luba,21.3365,-40.6364,296.61,71,0,8.67
34,richards bay,3.3695,7.4765,301.6,71,70,2.34
35,saint-francois,73.9251,128.7808,247.75,100,100,2.79
36,kruisfontein,-28.7008,32.05,294.9,74,84,4.37
37,salalah,21.2971,-49.9027,297.53,73,0,6.15
38,puerto pinasco,-78.1314,28.7805,232.96,100,100,3.72
39,cap malheureux,20.6332,54.2863,305.99,30,3,5.27
40,mackenzie,-23.0055,-57.6095,305.91,47,38,1.78
41,saleaula,-14.7055,58.2331,300.68,76,38,1.59
42,canakkale,-61.8677,-48.1958,270.66,91,100,14.26
43,moyale,56.4108,-124.4854,275.24,75,12,1.99
44,lata,-1.6232,-170.039,300.45,76,12,4.03
45,ilulissat,39.9218,26.5265,284.13,85,62,2.2
46,nanortalik,30.3258,-166.4863,292.54,72,2,8.0
47,tuggurt,3.893,39.1928,294.34,77,98,3.27
48,punta arenas,-11.1675,167.3579,301.55,74,100,1.64
49,falun,78.9044,-46.9158,256.84,82,85,6.6
50,torbay,55.6746,-39.0114,278.03,87,100,6.31
